[00:00:00] 欢迎收听古爱,我是圣木工
[00:31:46] 目前来说是这样子没错
[00:31:49] 但是AI如果等到
[00:31:51] 他有够多的知识跟智慧
[00:31:53] 可以去自己去做训练
[00:31:55] 甚至提升的话
[00:31:55] 他就有可能不再需要
[00:31:57] 外面的资讯
[00:31:58] 他也可以去玩出
[00:31:59] 自己的一套东西
[00:32:00] 那当然我们讲了
[00:32:01] 自己的一套东西
[00:32:01] 我自己会认为
[00:32:03] 比较偏向是工程
[00:32:04] 或者是coding这一类的东西
[00:32:06] 如果你说这些人文的什么东西
[00:32:07] 那个应该都还是要有很多的input进去
[00:32:09] 要跟着时代去做变化
[00:32:11] 所以他不是一言以蔽之
[00:32:13] 可以用很简单的方法
[00:32:14] 就去把它分类的东西
[00:32:16] 大概是这样
[00:32:16] 下面一位
[00:32:17] 不是美国店长的Captain
[00:32:19] 好久没有留言抽奖的气氛仔
[00:32:22] 去年没有被念到再来一次
[00:32:23] 从麦克风装盘时期
[00:32:24] 就只听到现在的气氛仔
[00:32:26] 感谢每周持续的分享
[00:32:27] 最近都是听到跟观音短
[00:32:29] 求祝福
[00:32:30] 先不管观音短
[00:32:32] 挂号诺亚音
[00:32:32] 单纯祝梦工大
[00:32:34] 生日快乐
[00:32:34] 全家健康平安
[00:32:35] 611迈入不惑的
[00:32:37] 我也生日快乐
[00:32:38] 我很想求抽奖抽到我
[00:32:40] 哈哈0分
[00:32:41] 下面一位
[00:32:41] 好久没有听到秋狗干你娘
[00:32:42] 忘了姓名的请跟我来
[00:32:44] 非常感谢这位
[00:32:45] 不是美国店长的Captain的祝福
[00:32:48] 也希望你生日快乐
[00:32:49] 下面一位
[00:32:50] Sam
[00:32:50] 但不是奥特曼
[00:32:51] 我考上了超爽德
[00:32:53] 梦工大武安
[00:32:54] 曾在EP631留言
[00:32:56] 祈愿考上研究所
[00:32:57] 感谢梦工跟观音短的保佑
[00:32:59] 很开心能够回来留言
[00:33:00] 考上焦大资工了
[00:33:02] 焦大资工是那个焦大巴色烤香肠
[00:33:06] 那个吗
[00:33:06] 放进烤箱里滋滋滋
[00:33:07] 香味扑鼻又超好吃
[00:33:09] 是那个吗
[00:33:10] 那也
[00:33:11] 以还愿捐出生活费
[00:33:13] 并开始吃素
[00:33:14] 希望未来研究求职都顺利
[00:33:16] 今年和女友去纽西兰玩半个月
[00:33:18] 开露营车小环岛沿途的风景真的很美
[00:33:21] 相信多少安哥会喜欢
[00:33:23] Queenstown的Sky Lodge的
[00:33:25] 还是Sky Lodge
[00:33:26] 那以及纽西兰的羊肉超好吃
[00:33:28] 推荐给梦工
[00:33:29] 祝梦工大全家健康平安
[00:33:32] 事实顺心
[00:33:32] 各位好爱吧
[00:33:33] 我们继续在股市探大钱
[00:33:35] 爱您
[00:33:35] 我妹爱您
[00:33:36] 那希望这个Sam
[00:33:37] 但不是奥特曼
[00:33:38] 在焦大资工可以过得快乐
[00:33:40] 平安顺利毕业
[00:33:41] 下面一位
[00:33:42] It's KMAR
[00:33:44] 第一次留言应该要讲点快乐的事情吧
[00:33:46] MK您好
[00:33:47] 第三次留言
[00:33:48] 希望被念到
[00:33:48] 感谢一路以来分享生活大小事
[00:33:50] 跟产业观察
[00:33:51] 收获真的很多
[00:33:52] 我也藉由您的一些分享思路
[00:33:54] 去反思各种决策
[00:33:57] 真的是始料未及会发生的体验
[00:33:59] 那最后希望可以像背后的观音团
[00:34:01] 许愿我家二宝快来临
[00:34:03] 我愿意加码半个月的薪水
[00:34:05] 捐给家福基金会
[00:34:06] 谢谢
[00:34:07] OK
[00:34:07] 那我们希望你的二宝可以尽快的来临
[00:34:10] 他健康平安
[00:34:11] 下面一位
[00:34:11] 黑人给我闭嘴
[00:34:13] 他讲的不是我讲的
[00:34:14] 欧巴马
[00:34:14] 也是他讲的不是我讲的
[00:34:16] 但黑人给我闭嘴
[00:34:17] 欧巴马是GI Joe的一个梗
[00:34:19] 只是在下这个时代
[00:34:20] 我们不太好这样说话
[00:34:22] 我会出事情
[00:34:23] 老公之前在金华城都放摇滚
[00:34:25] 那有follow到Foo Fighters的新歌吗
[00:34:28] 超久没有听这团
[00:34:29] 去打电波跟医师聊到
[00:34:31] 你也喜欢摇滚
[00:34:32] 才知道有新专辑
[00:34:33] 甚至有新的寻愿
[00:34:34] 那听一听
[00:34:36] 热音社的回忆都回来
[00:34:37] 然后最后
[00:34:37] 祝我远方不成谋面的兄弟
[00:34:39] 梦恭辞来的生日快乐
[00:34:40] 平安健康
[00:34:42] to keep a life moment at a time
[00:34:44] but still inside a whisper to a riot
[00:34:46] 好他这个是那个
[00:34:47] 那一首歌
[00:34:52] Foo Fighters的歌真的是非常的热血
[00:34:54] 就是在那一种
[00:34:55] 不知道
[00:34:57] 你们今天突然间要决定去开启一个新的计划
[00:35:00] 还是要做什么事情的时候
[00:35:02] 把Foo Fighters的歌拿出来炸一下
[00:35:04] 我突然就觉得说
[00:35:05] 我们什么事情都一定会完成
[00:35:07] 什么事情都一定可以达成那种感觉
[00:35:09] 那时候我们有去放Foo Fighters的歌
[00:35:11] 有因为其实已经喜欢他们
[00:35:13] 蛮长一段时间了
[00:35:14] Foo Fighters的那个主唱
[00:35:16] 就是以前Narana的鼓手
[00:35:18] 这应该蛮多人都知道
[00:35:20] 所以就是一脉单船
[00:35:22] 我也会持续这样子听过去
[00:35:23] 反正简单来讲就是说
[00:35:25] 大家去搞的一些side project
[00:35:27] 或是一些新的东西
[00:35:28] 我们都会去跟
[00:35:28] Foo Fighters算是一个
[00:35:30] 我蛮喜欢的团
[00:35:31] 下面我也
[00:35:32] 用钻脚器看起来两光两光
[00:35:34] 聚焦的星星光芒
[00:35:36] 成为光芒耀眼的道路
[00:35:37] 不知道为啥有种价值观崩坏的氛围
[00:35:40] 以前听到人家做生意
[00:35:42] 有赚钱是一件高兴的事情
[00:35:43] 现在但凡投资报酬率不高的生意
[00:35:46] 都会说不如放股票
[00:35:47] 万物飞涨
[00:35:48] 连价值观也飞涨
[00:35:51] 万物飞涨
[00:35:52] 有时候在想
[00:35:53] 要售那些房子店面
[00:35:54] 到底谁花得起
[00:35:55] 没有想不到只有花不起
[00:35:57] 知道比较会把快乐给赔掉
[00:35:59] 但不想跟别人比
[00:36:00] 还是会有人找你比较
[00:36:02] 莫名被找架打
[00:36:03] 好奇在这个世道下
[00:36:05] 何谓人情跟道德
[00:36:07] 我觉得现在还是一个赚钱的时间点
[00:36:10] 应该搞不好持续到2027 2028
[00:36:12] 都还是有机会
[00:36:13] 所以先持续的靠钱
[00:36:15] 等到市场开始进入空头的时候
[00:36:17] 我们就来竹林七弦
[00:36:18] 大家就来清谈
[00:36:19] 来聊一下什么叫做人情跟道德
[00:36:21] 但现在先努力的赚钱就好
[00:36:23] 你讲的这个事情
[00:36:24] 其实是发生在很多地方
[00:36:26] 在创投界也有
[00:36:27] 听说在业界最常被问的问题
[00:36:30] 就是为什么我要投你
[00:36:31] 我不要去买台积电
[00:36:32] 其实这种在我的角度就觉得
[00:36:34] 就叫干话了
[00:36:35] 那你就去投台积电
[00:36:36] 你做啥小创投
[00:36:37] 你就去投台积电
[00:36:38] 没有人阻挡你
[00:36:39] 你去投台积电
[00:36:40] 你自己要来做创投的
[00:36:41] 怪我了
[00:36:42] 所以我也不会去问
[00:36:44] 我们可能校男投的团队说
[00:36:46] 为什么我不要投台积电
[00:36:46] 不是啊
[00:36:47] 我来这边我就在干大的
[00:36:48] 我就在赌大的
[00:36:49] 我要就是要赌一个
[00:36:51] 我们做出什么世界级的游戏
[00:36:52] 我要就是go big
[00:36:54] 不然我就回家
[00:36:55] 不然我就去买台积电
[00:36:57] 我干嘛还要来这边赌
[00:36:58] 所以我敢来
[00:36:59] 我就是敢赌
[00:37:00] 所以我觉得你在外面听到这种去做比较的
[00:37:03] 就是说我为什么不要去买股票
[00:37:04] 你去啊
[00:37:05] 但是你不要拿这个去贬低人家
[00:37:07] 我觉得这是很下干的
[00:37:08] 就你也没有赚多少
[00:37:09] 老实讲是这样
[00:37:10] 就是说我们这种在股票赚的不错的
[00:37:13] 我们不会这样子讲话
[00:37:14] 就是像我们刚才前面讲的
[00:37:15] 就是没有多少钱的最喜欢去讲说
[00:37:17] 什么东西我不打
[00:37:18] 什么东西我不吃
[00:37:19] 好像自己很屌
[00:37:20] 然后怎么你这个东西我不要投
[00:37:22] 他一定是没有多少钱来讲这种话
[00:37:23] 因为真的有钱的人
[00:37:25] 会想要去做一些分散
[00:37:26] 我不敢说每一个
[00:37:28] 但是蛮多都这样子
[00:37:29] 就是我有钱的我去做一点创投
[00:37:31] 他其实甚至是做一个理念的
[00:37:33] 或是他想去赌一个暴击
[00:37:34] 他觉得在次级市场
[00:37:35] 他可以稳定搞好情
[00:37:36] 可是他想要在
[00:37:36] 这个一级市场去
[00:37:38] 捞到一个大的
[00:37:39] 就好玩
[00:37:40] 所以你不会用这样子的话去羞辱
[00:37:42] 或者说去故意把人家压低
[00:37:44] 那我知道其实已经有蛮多
[00:37:46] Founder都有提到这样子的东西
[00:37:47] 因为我有时候海巡会看到
[00:37:48] 就会提到说可能
[00:37:49] 今天去募资的时候
[00:37:51] 对方去讲这种话
[00:37:51] 那对方就不是真心要来投你的
[00:37:53] 他只是想杀价
[00:37:54] 或者说
[00:37:55] 他搞不好是真心的
[00:37:56] 但他就是希望价格可以再压到更低一点
[00:37:58] 所以这就是他的一个话术
[00:37:59] 我觉得没有必要这样去讲话
[00:38:01] 去羞辱别人
[00:38:01] 人生不是只有股票
[00:38:03] 就是说
[00:38:04] 你股票是因为现在很好
[00:38:06] 大家都这样看
[00:38:06] 就类似说之前可能房地产很好
[00:38:08] 大家也觉得说
[00:38:08] 就是无脑买房交
[00:38:09] 反正只要每次哪个都很好的时候
[00:38:11] 就会有很多这样子的人出现
[00:38:13] 但是我们不要变成这样子
[00:38:14] 讨人厌的人
[00:38:15] 然后再来讲说
[00:38:16] 会有人来找你比较
[00:38:18] 这就是我刚才前面讲
[00:38:19] 你要去mute掉这些人
[00:38:20] 就是你这样不要让
[00:38:21] 这些人影响到你
[00:38:23] 因为现在确实有很多是那种
[00:38:25] 笑评不笑倉的
[00:38:26] 这种价值观在市面上去做流窜
[00:38:29] 好像说
[00:38:30] 就是要有钱
[00:38:31] 有钱就是要
[00:38:31] 让大家知道自己有钱
[00:38:33] 我只是想说
[00:38:33] 因为台湾的治安是比较好一点
[00:38:35] 就是说
[00:38:36] 如果你知道你这样子
[00:38:37] 你知道
[00:38:38] 你去欧洲你这样子po
[00:38:40] 我会怕
[00:38:40] 因为我们自己
[00:38:41] 每年会在欧洲一段时间
[00:38:42] 老实讲
[00:38:43] 你真的不会想要去
[00:38:44] 做太flashy的事情
[00:38:45] 因为那真的是会帮自己惹麻烦
[00:38:47] 可能台湾是一个
[00:38:47] 相对安全的地方
[00:38:49] 所以就很多人就
[00:38:49] 公委就昂悦了
[00:38:51] 甚至里面有很多是假的
[00:38:52] 搞不好根本就没有这个钱
[00:38:53] 他是混在里面
[00:38:55] 然后讲自己怎么样
[00:38:56] 所以就不要去受到这些人的影响
[00:38:58] 我觉得还是专注自己
[00:38:59] 本身的价值
[00:39:00] 然后跟自己过去的比较
[00:39:02] 这个是比较重要的
[00:39:03] 下面一位
[00:39:03] 我是来自海外
[00:39:05] 且今年刚听的小癌粉
[00:39:06] 梦工chika怎么帅成这样
[00:39:08] 补一个六月生日快乐
[00:39:09] 一听就爱不释手
[00:39:10] 想问梦工刚入股市的小菜机
[00:39:12] 要怎么样收集到市场的资讯呢
[00:39:13] 也没有太多券商的报告
[00:39:15] 尤其是目前同时也在创业
[00:39:17] 现金流不稳定
[00:39:18] 只用部分的资金操作
[00:39:19] 但希望时间允许研究并操作
[00:39:22] 能够多一点主动配置的话
[00:39:23] 要怎么样进行比较好
[00:39:24] 虽然最近的盘动
[00:39:25] 但还是希望可以从这一部分
[00:39:27] 多一点参与市场
[00:39:28] 除了被动投资
[00:39:30] 搭配多一些主动选股的操作
[00:39:32] 慢慢累积
[00:39:32] 感谢梦工这么优质的好节目
[00:39:34] 真的佩服梦工
[00:39:35] 也祝你跟你的家人们
[00:39:36] 都平安健康
[00:39:37] 非常感谢这位海外的小癌粉
[00:39:40] 蛮怪的
[00:39:41] 反正总之
[00:39:42] 如果你想要获得更多的报告的话
[00:39:45] 我觉得比较简单的方式
[00:39:46] 就是你多开一点户
[00:39:47] 你就可以获得蛮多这种
[00:39:49] 券商销赛的一个报告
[00:39:50] 更进阶一点的话
[00:39:52] 就等到你的交易量够大的话
[00:39:54] 你就去开一个法人部的户头
[00:39:56] 像这样子
[00:39:57] 法人部的户头
[00:39:58] 他们有办法再帮你搞到更多的资源
[00:40:01] 一般就会有一些
[00:40:02] 可能LINE群
[00:40:03] 或甚至你可以直接跟你的音乐人对话
[00:40:05] 他就会帮你找
[00:40:05] 一些海内外的报告
[00:40:07] 或是一些call memo
[00:40:09] 都会帮你丢来
[00:40:10] 这个就等于说
[00:40:10] 就可以再更上一层楼
[00:40:11] 再来可能就是要有一些同好
[00:40:14] 因为每个人的注意力是有限的
[00:40:15] 我今天call公司
[00:40:16] call ABC
[00:40:17] 你call DEF
[00:40:18] 我们就来做交换
[00:40:20] 这样子大家都可以获得很多的情报
[00:40:22] 所以他是慢慢的
[00:40:23] 他没有那种一步登天的方法
[00:40:25] 蛮多人都想要问一步登天的方法
[00:40:27] 但真的没有
[00:40:27] 那都是靠累积
[00:40:28] 老实讲你说累积到很多
[00:40:30] 你的绩效就会比之前更好吗
[00:40:32] 我得说有累积真的有差
[00:40:34] 可是到后面边际效益会递减
[00:40:36] 甚至你会有一点受害于资讯太多
[00:40:39] 太多杂讯
[00:40:40] 或是说就算你的资讯是对的
[00:40:42] 可是你的资讯的
[00:40:43] 怎么讲
[00:40:44] 他的频率太高导致
[00:40:46] 就像我之前就跟一个大哥讨论过
[00:40:49] 因为那时候我要跟他对一些投片数字
[00:40:51] 他直接跟我讲说
[00:40:53] 他都没有在看投片数字
[00:40:54] 我想说你妈的你那么大的一个分析师
[00:40:57] 你这么有名
[00:40:58] 大家都在看你的报告
[00:40:59] 你没有在看投片报告
[00:41:00] 你是唬我的吧
[00:41:01] 他说他真的都不知道那些数字
[00:41:03] 他说那个叫noise
[00:41:04] 那这句话影响我非常大
[00:41:06] 因为老实讲在2023 2024
[00:41:08] 如果你可以掌握到一些前段后段
[00:41:10] 封装段的各种数字
[00:41:12] 你就可以赚钱
[00:41:13] 那直到现在
[00:41:14] 你已经很少听到人家去追什么投片数字
[00:41:16] 或者是说可能今天Oracle
[00:41:19] 或者是Meta
[00:41:20] 他妈拉几
[00:41:21] Rex
[00:41:21] 你应该很久没有看到这个数字
[00:41:22] 因为这一招已经是没有用了
[00:41:24] 就在后面在上上是越来越顿化的
[00:41:26] 像那个大哥他的说法就是说
[00:41:28] 他不去看这种
[00:41:29] 因为你一下上修
[00:41:31] 你后面约约下修
[00:41:32] 你下修之后
[00:41:32] 后面约约在上修
[00:41:33] 那意义在哪
[00:41:34] 我只要抓到大方向
[00:41:35] 我只要知道说
[00:41:36] 哪些厂商可以吃到这些大单
[00:41:37] 我这样下就可以
[00:41:39] 所以他的做法
[00:41:40] 你甚至搞不好看新闻就好了
[00:41:41] 你还不用看一堆什么研究报告
[00:41:43] 你懂吗
[00:41:43] 所以有资讯很好
[00:41:44] 但是资讯并不是一个绝对必要
[00:41:47] 没有就会死掉的东西
[00:41:49] 甚至我觉得很多时候是在考验你的眼光
[00:41:51] 大概是这样
[00:41:51] 那下面一位
[00:41:53] 台股云霄飞车
[00:41:54] 网美铁拳教育超好看
[00:41:56] 五星好评最安
[00:41:57] 网飞最近的韩剧芯片
[00:41:59] 铁拳教育超好看
[00:42:01] 有打打杀杀的片段
[00:42:03] 探讨各种学校的不良案例
[00:42:05] 内容也有提到不少小孩的部分
[00:42:07] 应该对您会有所帮助
[00:42:08] 哪一大有机会也在YouTube念留言吗
[00:42:11] 那所以先非常感谢你的推荐
[00:42:13] 然后再来讲YouTube念留言
[00:42:15] 之后有机会可能可以试试看看
[00:42:16] 我觉得目前就是
[00:42:17] Apple跟Spotify算蛮不错
[00:42:19] 因为已经算是可以cover到
[00:42:21] 绝大多数的听众
[00:42:22] 或许以后可以再加一个YouTube
[00:42:24] 可是因为YouTube有时候会有白痴
[00:42:25] 就YouTube我大概
[00:42:26] 可能每两三集
[00:42:28] 就会需要去封锁一些人
[00:42:29] 那当然我是不会去封锁那些
[00:42:31] 可能跟我意见相左的
[00:42:33] 可是我会去封锁白痴
[00:42:34] 就你今天讲白痴话
[00:42:35] 你就立刻被我封锁
[00:42:36] 因为我会觉得不知道
[00:42:37] 还是只有我这样想
[00:42:39] 就是我看到白痴的留言
[00:42:40] 我会觉得说
[00:42:41] 你正在污染我的脑袋
[00:42:43] 就是你这种人
[00:42:44] 就应该要立刻出去
[00:42:45] 所以我很可惜
[00:42:46] 我只能够封锁留言
[00:42:47] 我觉得最好的做法是
[00:42:48] 应该是你连我的频道
[00:42:49] 都不能够看到
[00:42:51] 那这个是最好
[00:42:52] 只是好像没有办法
[00:42:52] 这样去封锁别人
[00:42:53] 但反正总之就是
[00:42:54] 对如果上面的人
[00:42:56] 比较正常一点的话就OK
[00:42:58] 就像前阵子
[00:42:58] 有一段时间不是
[00:43:00] 我忘记Spotify还是Apple
[00:43:02] 应该Spotify
[00:43:02] 就是全部都在问股票
[00:43:03] 其实那段时间
[00:43:04] 我就想把Spotify留言的
[00:43:06] 这个机制给关掉
[00:43:07] 反正总之我们就是会
[00:43:08] 弹性的去做一些调整
[00:43:10] 因为我真的很讨厌笨蛋
[00:43:11] 下面一位
[00:43:11] 黄山料
[00:43:13] 太神了
[00:43:14] 还敢下来
[00:43:15] 冰鸟
[00:43:16] 这是一个不公平的比赛
[00:43:17] 笑死人
[00:43:18] 他刚才打我
[00:43:19] 我有退吗
[00:43:19] 微步都没有退
[00:43:21] 你们裁判是怎么判的
[00:43:22] 不是
[00:43:22] 微步都没有退
[00:43:23] 你判我输
[00:43:24] 你从桃园新竹
[00:43:25] 你从桃园新竹
[00:43:26] 你从桃园新竹
[00:43:28] 你从桃园新竹
[00:43:29] 你从桃园新竹
[00:43:30] 他的手可以穿过我的巴巴
[00:43:31] 哦是哦
[00:43:32] 真的假的
[00:43:33] 那今天呢
[00:43:34] 风光明媚
[00:43:35] 风和日丽
[00:43:36] 所以今天的计划就是
[00:43:37] 早餐吃到饱
[00:43:38] 哇这个好多回忆啊
[00:43:40] 下面一位
[00:43:41] 来
[00:43:43] Leo9one
[00:43:45] 123
[00:43:46] 我
[00:43:46] 埃大你好
[00:43:47] 我有两个
[00:43:49] 从国中到现在
[00:43:49] 每天都还是会在群组
[00:43:51] 讲干话的好兄弟
[00:43:52] 挂号损友
[00:43:52] 这几年我们都会一直
[00:43:54] 聊投资的事情
[00:43:54] 但都不是很震惊的那一种
[00:43:56] 一个把埃大当成神
[00:43:58] 每个急速当天必听
[00:43:59] 并认真分析
[00:44:00] 一个把川普当成神
[00:44:01] 说跟着偷卡赚就好了
[00:44:03] 他口啦
[00:44:04] 不是偷卡啦
[00:44:05] 那希望埃大可以用川普的声音
[00:44:08] 跟他们两位说
[00:44:09] Kevin跟Wilson
[00:44:10] 祝你们股票都可以买买买
[00:44:11] 喷喷喷
[00:44:11] 那这样就能够两个愿望
[00:44:14] 一次满足了
[00:44:15] 我谢埃大
[00:44:15] 挂号我们的内耿
[00:44:17] 是只要有什么类似
[00:44:18] punchline的东西
[00:44:19] 就会窝来窝去
[00:44:20] 甚至到了泛滥的程度
[00:44:21] 其实有这样的一些好狗友
[00:44:23] 是蛮不错的事情
[00:44:25] 那川普的话
[00:44:26] 确实是在市场
[00:44:27] 是属于呼风唤雨
[00:44:29] 只是川普的指标
[00:44:29] 后来也不太好用的原因
[00:44:31] 是因为他搞人
[00:44:32] 就像上次
[00:44:32] 一下跟你讲说
[00:44:34] 他要去夺岛
[00:44:35] 一下说他不要了
[00:44:36] 所以变成说
[00:44:37] 你会被双疤扒到死
[00:44:38] 但以前他叫你买股票的时候
[00:44:39] 那真的是非常准的时间点
[00:44:41] 所以我觉得川普
[00:44:42] 现在已经是收敛到
[00:44:43] 就是他跟你讲说
[00:44:43] 买股票的时候
[00:44:44] 你就买股票就对了
[00:44:45] 那下面一位
[00:44:46] 一路向五万点
[00:44:48] Good morning
[00:44:48] Good afternoon
[00:44:49] 后面被卡掉
[00:44:50] 直男巧虎
[00:44:50] 梦工去卡
[00:44:51] AKA
[00:44:52] 欢迎大爱
[00:44:52] 受众您好
[00:44:53] 生日快乐
[00:44:54] 先祝各位捏软联盟
[00:44:55] 快乐宝贝
[00:44:56] 端午快乐
[00:44:57] 梦工会觉得
[00:44:57] 很像楚门世界的主角
[00:44:59] 走在路上
[00:45:00] 大家都认识你
[00:45:00] 你却不认识
[00:45:01] 他们的感觉吗
[00:45:02] 总觉得古牌
[00:45:03] 像是陪我长大的节目
[00:45:05] 有点可以体会到
[00:45:06] 为什么有人会想追星
[00:45:07] 希望哪天
[00:45:08] 可以在路上听到古牌说
[00:45:09] I buy you all
[00:45:11] Can I get the first one
[00:45:12] 这个是黄人勋的插队
[00:45:15] 他想要去第一个拿到
[00:45:17] 所以他就帮大家买掉
[00:45:18] 我不知道可以这样插队
[00:45:20] 如果可以这样子的话
[00:45:21] 其实我非常乐意
[00:45:21] 我非常乐意
[00:45:22] 以后如果你看到我在排队
[00:45:24] 你是在我前面
[00:45:26] 你认识我
[00:45:26] 你就来跟我讲说
[00:45:28] 梦工帮我付钱
[00:45:29] 然后我就会帮你付钱
[00:45:30] 我一定帮你付钱
[00:45:31] 甚至你不用讲说
[00:45:32] 梦工帮我付钱
[00:45:32] 梦工你要不要快一点
[00:45:33] 我就会去前面帮你付钱
[00:45:35] 因为我超级讨厌排队
[00:45:36] 我不知道可以这样插队
[00:45:37] 因为黄人勋真的太帅了
[00:45:38] 所以大家是允许这件事情
[00:45:40] 因为世界下
[00:45:42] 蛮多人是很容易被冒犯
[00:45:43] 我们不确定说你这样子讲
[00:45:44] 会不会有些人说
[00:45:45] 怎样有钱了不起
[00:45:46] 但如果说我前面是听众
[00:45:49] 你看到我在排队
[00:45:50] 因为我真的超级讨厌排队
[00:45:52] 你给我一个fast pass
[00:45:54] 我一定帮你付钱
[00:45:55] 下面有位
[00:45:55] CC Chen
[00:45:57] 超爽的
[00:45:57] 剪到留言密码的勒
[00:45:59] 梦工你会参加NB邀请的10K路跑吗
[00:46:02] 这样我要杂NB参加咯
[00:46:04] 突然想不到今天可以问什么
[00:46:06] 我们就会一起唱
[00:46:06] G I Joe
[00:46:08] 会去跑
[00:46:11] 只是当然我不确定自己有没有办法跑完10K
[00:46:15] 因为我没有跑过这么长
[00:46:16] 当兵都是跑好像3K还5K
[00:46:18] 所以第一次跑这么长
[00:46:20] 应该前面会去稍微的做一点训练
[00:46:22] 下面一位
[00:46:23] 用川普的语音包说
[00:46:25] 6 7
[00:46:27] 不懂6 7根的我们是不是老了
[00:46:29] 梦工宝贝想问
[00:46:30] 一目前有吃什么健康食品
[00:46:33] 你说就是那种保养品吗
[00:46:34] 虾油
[00:46:36] 鱼油
[00:46:37] 综合维他命
[00:46:38] 叶黄
[00:46:39] 然后还有
[00:46:40] 积酸
[00:46:41] 积酸我觉得蛮不错
[00:46:43] 积酸是很明显感受到说有吃有差的东西
[00:46:45] 那二
[00:46:46] 老公有没有用过Claude的Fablefy模型
[00:46:49] 有的话有何感想
[00:46:50] 有
[00:46:51] 好用
[00:46:51] 强大
[00:46:52] 速度快
[00:46:52] 我觉得
[00:46:53] 目前Amprofibic的模型真的都是还蛮吊炮的
[00:46:56] 那三
[00:46:57] 有没有一时冲动被习酸厂的经验
[00:46:59] 就是明明很看好某党未来的前景
[00:47:01] 但因为当天的股价走势真的太喜而冲动出清
[00:47:04] 那结果当天尾盘又涨回来
[00:47:06] 如果遇到这种情况会选择认错买回还是投入其他标的
[00:47:09] 那最后祝您60岁也能够成博
[00:47:12] 非常感谢
[00:47:13] 习酸厂一定有
[00:47:14] 而且很常见到现在都还是会有
[00:47:16] 那所谓的习酸厂我会直接把它视为说
[00:47:19] 反正就是达到我的条件
[00:47:20] 我开始停利或是停损出去之后呢
[00:47:22] 然后接着就立刻开走
[00:47:24] 这个我都把它视为是习酸厂
[00:47:25] 那只是以前遇到洗漱厂就是很被动的接受
[00:47:27] 现在遇到洗漱厂就是我会把它追回来
[00:47:30] 然后我追回来的部位我就是洗不掉了
[00:47:33] 也就是说你他妈就算你跌掉20%
[00:47:35] 我都是巴在上面的
[00:47:36] 我可能追回来不会追这么多
[00:47:37] 但是我就是巴在上面的
[00:47:39] 所以一般我会有这个认错追回啦
[00:47:41] 就是我是蛮敢追回的
[00:47:42] 甚至追回是追在涨停价也没有关系
[00:47:45] 这个是我近期会这样子搞
[00:47:46] 那下面一位
[00:47:47] 听老婆话不丢脸留言密码测试
[00:47:50] 以这些年默默固定听的
[00:47:52] 梦工去嘎频道多年
[00:47:53] 感谢您这里陆上的陪伴友
[00:47:55] 您真好别都不说
[00:47:56] 当爸妈之后健康最重要
[00:47:57] 祝您全家幸福安康美满
[00:47:59] 请您帮我祝福家中老婆大人
[00:48:01] 6月20号生日快乐
[00:48:02] 感谢老婆有你的付出
[00:48:03] 才让这个家完整
[00:48:04] 那我们希望老婆生日快乐哦
[00:48:06] 要健康平安
[00:48:07] 下面一位科技业背锅仔阿全
[00:48:10] 拜托念叨我好运一直来
[00:48:11] 梦工去嘎
[00:48:12] 您好小弟
[00:48:13] 目前工作正面临准备要进入PIP
[00:48:15] 或是拿钱走人的窘境
[00:48:17] 目前还没有找到下一份工作
[00:48:19] 又面临预售屋
[00:48:20] 明年要交屋
[00:48:20] 希望借梦工的金口
[00:48:21] 祝福我工作瓶颈可以快点跨越
[00:48:24] 早点更适合自己的工作
[00:48:26] 那生活家庭都顺心
[00:48:28] 并祝我和好友大宝
[00:48:30] 早日实现买房买车的梦想
[00:48:32] 明年顺利交屋
[00:48:33] 小弟会捐出5万的月薪
[00:48:34] 谢谢来大爱您
[00:48:35] 我们祝这个兄弟
[00:48:37] 可以早日达成他的目标跟愿望
[00:48:39] 那只是呢
[00:48:40] 我之前会进行一个大方运动
[00:48:42] 就有发现说
[00:48:43] 这边有很多的荡森boy
[00:48:45] fucking荡森音
[00:48:46] 就是他们太call了
[00:48:47] 他们许一个很大的愿望
[00:48:49] 然后他们call到爆炸
[00:48:50] 那只是后来就是像我跟大家分享
[00:48:52] 我觉得我们这边有很多听众
[00:48:53] 他们又太大方了
[00:48:54] 就走到一个极限去了
[00:48:55] 那所以呢
[00:48:56] 以你的案例
[00:48:57] 因为你目前正在换工作
[00:48:58] 同时你预售交屋
[00:49:00] 后面就开始要分期要给钱了嘛
[00:49:02] 那你又要去买车的话
[00:49:03] 你正在一个支出非常大的阶段
[00:49:05] 在这个阶段
[00:49:06] 我建议你先把钱留起来
[00:49:08] 你要记得你之后
[00:49:09] 你要缓越
[00:49:10] 你要捐钱
[00:49:10] 那之后的事情
[00:49:11] 但你会做到就好
[00:49:12] 你先把钱收起来
[00:49:13] 这也是我跟大家讲说
[00:49:14] 其实很多人在他累积
[00:49:16] 所谓的第一桶金的初期
[00:49:18] 你知道你前面的钱其实是非常重要的
[00:49:21] 然后你跑去乱买一些东西
[00:49:23] 乱上一些课或什么的
[00:49:24] 当然你说是累积自己
[00:49:25] 可是其实你一直把钱花掉
[00:49:27] 本身也不是太好的事情
[00:49:29] 你懂我意思吗
[00:49:29] 所以不管是捐或是花
[00:49:31] 前面的几笔钱
[00:49:32] 真的要非常非常的小心
[00:49:33] 我建议这个兄弟
[00:49:34] 好好地存起来
[00:49:35] 你之后可能不知道
